nct_number,study_title,phase,enrollment,funder_type,sponsor,start_date,completion_date,duration_months,start_year,allocation,masking,primary_purpose,intervention_model,is_multinational,country_count,scope
NCT00690638,Safety and Efficacy Study of Dutogliptin/PHX1149T to Treat Type 2 Diabetes Mellitus,Phase 3,480,INDUSTRY,Phenomix,2008-07-01,2010-04-01,21.0,2008.0,RANDOMIZED,"DOUBLE (PARTICIPANT, INVESTIGATOR)",TREATMENT,PARALLEL,1,9,Multinational
NCT00542724,"An Open Label, Multi-Center, Randomized, Parallel Group Study Comparing the Efficacy and Safety of Insulin VIAject™ and Regular Human Insulin in Patients With Type 1 Diabetes Mellitus",Phase 3,462,INDUSTRY,Biodel,2006-09-01,,,2006.0,RANDOMIZED,NONE,TREATMENT,PARALLEL,0,0,Single Country
NCT00306098,Islet Cell Transplantation Alone in Patients With Type 1 Diabetes Mellitus: Steroid-Free Immunosuppression,Phase 2,26,OTHER,Rodolfo Alejandro,2000-12-01,,,2000.0,,NONE,TREATMENT,SINGLE_GROUP,0,1,Single Country
NCT01028963,A Study to Evaluate the Safety and Efficacy of CCX140-B in Subjects With Type 2 Diabetes Mellitus,Phase 2,159,INDUSTRY,Amgen,2010-01-01,2010-11-01,10.0,2010.0,RANDOMIZED,"TRIPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR)",TREATMENT,PARALLEL,1,5,Multinational
NCT00087516,Monotherapy Study in Patients With Type 2 Diabetes Mellitus (0431-021),Phase 3,741,INDUSTRY,Merck Sharp & Dohme LLC,2004-06-01,2007-02-01,32.0,2004.0,RANDOMIZED,"DOUBLE (PARTICIPANT, INVESTIGATOR)",TREATMENT,PARALLEL,0,0,Single Country
NCT00605020,Efficacy and Safety of Insulin Detemir in Combination With Insulin Aspart and Biphasic Insulin Aspart 30 in Type 2 Diabetes,Phase 3,719,INDUSTRY,Novo Nordisk A/S,,,,,RANDOMIZED,NONE,TREATMENT,PARALLEL,1,3,Multinational
NCT00532935,MK0431A vs. Pioglitazone in Patients With Type 2 Diabetes Mellitus (0431A-066),Phase 3,517,INDUSTRY,Merck Sharp & Dohme LLC,,,,,RANDOMIZED,"DOUBLE (PARTICIPANT, INVESTIGATOR)",TREATMENT,PARALLEL,0,0,Single Country
NCT02222350,Phase 2 Study of DS-8500a in Patients With Type 2 Diabetes,Phase 2,100,INDUSTRY,"Daiichi Sankyo Co., Ltd.",2014-07-01,2015-01-01,6.0,2014.0,RANDOMIZED,"QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)",TREATMENT,PARALLEL,0,1,Single Country
NCT01365507,Efficacy and Safety of Insulin Degludec/Insulin Aspart in Insulin-naïve Subjects With Type 2 Diabetes Using Two Dosing Regimens,Phase 3,276,INDUSTRY,Novo Nordisk A/S,2011-06-01,2012-04-01,10.0,2011.0,RANDOMIZED,NONE,TREATMENT,PARALLEL,1,7,Multinational
NCT00800176,A Dose-Finding Study of RO4998452 in Patients With Diabetes Mellitus,Phase 2,394,INDUSTRY,Hoffmann-La Roche,,,,,RANDOMIZED,"DOUBLE (PARTICIPANT, INVESTIGATOR)",TREATMENT,PARALLEL,1,12,Multinational
